[Measurement conditions]
Sample identification,
Comment,
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.05mm
Receiving slit,0.05
Monochromator used,YES
Generator voltage, 45
Tube current, 40
File date and time,03/Sep/2019 14:46
Unit cell,
h k l, 0 0 0
Scan axis,2Theta-Omega
Scan range,0.20000,13.29000
Scan step size,0.0100000
Omega offset,0.0000
No. of points, 1309
Scan type,CONTINUOUS
Phi,0.00
Psi,0.00
Z,1.711
Time per step,0.440
[Scan points]
Angle,Intensity
0.20500,604602.0
0.21500,638083.0
0.22500,676212.0
0.23500,709647.0
0.24500,745274.0
0.25500,778370.0
0.26500,812718.0
0.27500,846710.0
0.28500,880836.0
0.29500,914872.0
0.30500,946512.0
0.31500,980258.0
0.32500,1013213.0
0.33500,1046076.0
0.34500,1080262.0
0.35500,1111769.0
0.36500,1143284.0
0.37500,1175444.0
0.38500,1205672.0
0.39500,1239319.0
0.40500,1268577.0
0.41500,1298604.0
0.42500,1325676.0
0.43500,1355783.0
0.44500,1384830.0
0.45500,1410661.0
0.46500,1437130.0
0.47500,1463478.0
0.48500,1484938.0
0.49500,1509482.0
0.50500,1533052.0
0.51500,1552187.0
0.52500,1569124.0
0.53500,1580262.0
0.54500,1595405.0
0.55500,1598837.0
0.56500,1597343.0
0.57500,1584026.0
0.58500,1554815.0
0.59500,1493201.0
0.60500,1389331.0
0.61500,1211794.0
0.62500,967839.0
0.63500,696664.0
0.64500,462906.0
0.65500,297008.0
0.66500,192926.0
0.67500,127294.0
0.68500,86882.0
0.69500,61299.0
0.70500,44268.0
0.71500,33829.0
0.72500,26725.0
0.73500,21656.0
0.74500,19263.0
0.75500,18006.0
0.76500,16946.0
0.77500,16761.0
0.78500,16906.0
0.79500,17176.0
0.80500,17801.0
0.81500,18735.0
0.82500,19343.0
0.83500,20256.0
0.84500,20803.0
0.85500,21362.0
0.86500,21580.0
0.87500,22255.0
0.88500,22570.0
0.89500,22879.0
0.90500,23027.0
0.91500,23219.0
0.92500,23298.0
0.93500,22979.0
0.94500,22987.0
0.95500,23063.0
0.96500,22712.0
0.97500,22320.0
0.98500,21913.0
0.99500,21232.0
1.00500,21029.0
1.01500,20709.0
1.02500,19845.0
1.03500,19538.0
1.04500,18598.0
1.05500,17993.0
1.06500,17633.0
1.07500,17062.0
1.08500,16265.0
1.09500,15807.0
1.10500,15073.0
1.11500,14591.0
1.12500,13958.0
1.13500,13258.0
1.14500,12339.0
1.15500,11891.0
1.16500,11464.0
1.17500,10614.0
1.18500,10039.0
1.19500,9410.0
1.20500,8987.0
1.21500,8510.0
1.22500,7874.0
1.23500,7313.0
1.24500,6868.0
1.25500,6238.0
1.26500,5790.0
1.27500,5257.0
1.28500,4920.0
1.29500,4397.0
1.30500,4112.0
1.31500,3873.0
1.32500,3539.0
1.33500,3125.0
1.34500,2878.0
1.35500,2639.0
1.36500,2354.0
1.37500,2181.0
1.38500,2056.0
1.39500,1775.0
1.40500,1628.0
1.41500,1439.0
1.42500,1332.0
1.43500,1168.0
1.44500,1104.0
1.45500,994.0
1.46500,922.0
1.47500,791.0
1.48500,786.0
1.49500,721.0
1.50500,686.0
1.51500,685.0
1.52500,620.0
1.53500,623.0
1.54500,603.0
1.55500,641.0
1.56500,665.0
1.57500,643.0
1.58500,679.0
1.59500,726.0
1.60500,740.0
1.61500,773.0
1.62500,789.0
1.63500,804.0
1.64500,914.0
1.65500,878.0
1.66500,960.0
1.67500,1006.0
1.68500,978.0
1.69500,1077.0
1.70500,1111.0
1.71500,1128.0
1.72500,1144.0
1.73500,1225.0
1.74500,1195.0
1.75500,1269.0
1.76500,1282.0
1.77500,1324.0
1.78500,1257.0
1.79500,1260.0
1.80500,1377.0
1.81500,1287.0
1.82500,1351.0
1.83500,1370.0
1.84500,1295.0
1.85500,1295.0
1.86500,1331.0
1.87500,1300.0
1.88500,1299.0
1.89500,1248.0
1.90500,1253.0
1.91500,1273.0
1.92500,1178.0
1.93500,1151.0
1.94500,1145.0
1.95500,1125.0
1.96500,1096.0
1.97500,1058.0
1.98500,1087.0
1.99500,1038.0
2.00500,977.0
2.01500,966.0
2.02500,932.0
2.03500,856.0
2.04500,882.0
2.05500,813.0
2.06500,722.0
2.07500,711.0
2.08500,681.0
2.09500,680.0
2.10500,674.0
2.11500,611.0
2.12500,528.0
2.13500,534.0
2.14500,486.0
2.15500,467.0
2.16500,452.0
2.17500,395.0
2.18500,388.0
2.19500,348.0
2.20500,321.0
2.21500,289.0
2.22500,294.0
2.23500,226.0
2.24500,225.0
2.25500,211.0
2.26500,207.0
2.27500,180.0
2.28500,194.0
2.29500,159.0
2.30500,172.0
2.31500,153.0
2.32500,135.0
2.33500,139.0
2.34500,109.0
2.35500,123.0
2.36500,117.0
2.37500,130.0
2.38500,116.0
2.39500,106.0
2.40500,121.0
2.41500,115.0
2.42500,124.0
2.43500,115.0
2.44500,130.0
2.45500,134.0
2.46500,145.0
2.47500,144.0
2.48500,149.0
2.49500,182.0
2.50500,188.0
2.51500,199.0
2.52500,181.0
2.53500,204.0
2.54500,237.0
2.55500,226.0
2.56500,216.0
2.57500,244.0
2.58500,261.0
2.59500,246.0
2.60500,263.0
2.61500,282.0
2.62500,246.0
2.63500,259.0
2.64500,272.0
2.65500,290.0
2.66500,287.0
2.67500,285.0
2.68500,271.0
2.69500,270.0
2.70500,290.0
2.71500,319.0
2.72500,308.0
2.73500,268.0
2.74500,297.0
2.75500,308.0
2.76500,283.0
2.77500,300.0
2.78500,317.0
2.79500,288.0
2.80500,279.0
2.81500,296.0
2.82500,258.0
2.83500,249.0
2.84500,259.0
2.85500,227.0
2.86500,245.0
2.87500,235.0
2.88500,244.0
2.89500,197.0
2.90500,233.0
2.91500,189.0
2.92500,175.0
2.93500,181.0
2.94500,164.0
2.95500,152.0
2.96500,156.0
2.97500,134.0
2.98500,132.0
2.99500,127.0
3.00500,111.0
3.01500,104.0
3.02500,113.0
3.03500,100.0
3.04500,112.0
3.05500,110.0
3.06500,99.0
3.07500,85.0
3.08500,68.0
3.09500,67.0
3.10500,67.0
3.11500,58.0
3.12500,46.0
3.13500,54.0
3.14500,46.0
3.15500,51.0
3.16500,37.0
3.17500,45.0
3.18500,38.0
3.19500,37.0
3.20500,25.0
3.21500,35.0
3.22500,24.0
3.23500,31.0
3.24500,28.0
3.25500,25.0
3.26500,24.0
3.27500,33.0
3.28500,30.0
3.29500,21.0
3.30500,43.0
3.31500,41.0
3.32500,36.0
3.33500,41.0
3.34500,45.0
3.35500,43.0
3.36500,46.0
3.37500,48.0
3.38500,38.0
3.39500,37.0
3.40500,41.0
3.41500,51.0
3.42500,57.0
3.43500,54.0
3.44500,55.0
3.45500,56.0
3.46500,57.0
3.47500,77.0
3.48500,51.0
3.49500,49.0
3.50500,56.0
3.51500,67.0
3.52500,81.0
3.53500,68.0
3.54500,83.0
3.55500,70.0
3.56500,80.0
3.57500,67.0
3.58500,78.0
3.59500,88.0
3.60500,67.0
3.61500,57.0
3.62500,74.0
3.63500,80.0
3.64500,69.0
3.65500,80.0
3.66500,85.0
3.67500,74.0
3.68500,67.0
3.69500,72.0
3.70500,66.0
3.71500,80.0
3.72500,82.0
3.73500,83.0
3.74500,65.0
3.75500,67.0
3.76500,70.0
3.77500,64.0
3.78500,61.0
3.79500,64.0
3.80500,50.0
3.81500,59.0
3.82500,48.0
3.83500,48.0
3.84500,46.0
3.85500,38.0
3.86500,43.0
3.87500,39.0
3.88500,45.0
